Time,Lat,Lon,Alt(M)
1620168136.553865,42.275720749,-83.672002849,259.249
1620168137.55811,42.275720667,-83.672002833,259.5
1620168138.560467,42.275720396,-83.672001497,259.202
1620168139.564552,42.275720333,-83.6720015,259.4
1620168140.567,42.27572005,-83.672000051,259.185
1620168141.571129,42.27572,-83.672,259.4
1620168142.573481,42.275719112,-83.671999262,259.032
1620168143.577706,42.275719167,-83.671999167,259.2
1620168144.580045,42.275718407,-83.671999074,258.895
1620168145.5841,42.275718333,-83.671999,259.1
